Unnamed: 0,疾病病种,发病数,死亡数,date,year,month,url
562,包虫病,0.0,0.0,2014-10,2014,10,http://wsjkw.zj.gov.cn/art/2014/11/13/art_1229123469_468837.html
563,丝虫病,0.0,0.0,2014-10,2014,10,http://wsjkw.zj.gov.cn/art/2014/11/13/art_1229123469_468837.html
564,其它感染性腹泻病,7410.0,0.0,2014-10,2014,10,http://wsjkw.zj.gov.cn/art/2014/11/13/art_1229123469_468837.html
565,手足口病,23426.0,1.0,2014-10,2014,10,http://wsjkw.zj.gov.cn/art/2014/11/13/art_1229123469_468837.html
566,甲乙丙类总计,34027.0,24.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
567,甲乙类传染病合计,9413.0,24.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
568,鼠疫,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
569,霍乱,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
570,传染性非典型肺炎,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
571,艾滋病,126.0,11.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
572,病毒性肝炎,1795.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
573,甲型肝炎,46.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
574,乙型肝炎,1301.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
575,丙型肝炎,206.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
576,戊型肝炎,134.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
577,肝炎未分型,108.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
578,脊髓灰质炎,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
579,人感染高致病性禽流感,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
580,麻疹,20.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
581,流行性出血热,46.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
582,狂犬病,1.0,1.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
583,流行性乙型脑炎,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
584,登革热,1.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
585,炭疽,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
586,细菌性和阿米巴性痢疾,131.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
587,肺结核,2798.0,12.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
588,伤寒与副伤寒,29.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
589,流行性脑脊髓膜炎,1.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
590,百日咳,2.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
591,白喉,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
592,新生儿破伤风,2.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
593,猩红热,210.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
594,布鲁氏菌病,6.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
595,淋病,1455.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
596,梅毒,2762.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
597,钩端螺旋体病,2.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
598,血吸虫病,4.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
599,疟疾,20.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
600,人感染H7N9禽流感,2.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
601,丙类传染病合计,24614.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
602,流行性感冒,167.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
603,流行性腮腺炎,583.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
604,风疹,21.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
605,急性出血性结膜炎,74.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
606,麻风病,1.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
607,斑疹伤寒,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
608,黑热病,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
609,包虫病,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
610,丝虫病,0.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
611,其它感染性腹泻病,11245.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
612,手足口病,12523.0,0.0,2014-11,2014,11,http://wsjkw.zj.gov.cn/art/2014/12/8/art_1229123469_468838.html
613,甲乙丙类总计,41223.0,24.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
614,甲乙类传染病合计,9404.0,24.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
615,鼠疫,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
616,霍乱,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
617,传染性非典型肺炎,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
618,艾滋病,177.0,14.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
619,病毒性肝炎,1725.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
620,甲型肝炎,44.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
621,乙型肝炎,1189.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
622,丙型肝炎,255.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
623,戊型肝炎,133.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
624,肝炎未分型,104.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
625,脊髓灰质炎,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
626,人感染高致病性禽流感,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
627,麻疹,22.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
628,流行性出血热,46.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
629,狂犬病,1.0,1.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
630,流行性乙型脑炎,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
631,登革热,3.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
632,炭疽,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
633,细菌性和阿米巴性痢疾,138.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
634,肺结核,2791.0,7.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
635,伤寒与副伤寒,23.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
636,流行性脑脊髓膜炎,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
637,百日咳,6.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
638,白喉,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
639,新生儿破伤风,2.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
640,猩红热,319.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
641,布鲁氏菌病,5.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
642,淋病,1477.0,1.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
643,梅毒,2648.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
644,钩端螺旋体病,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
645,血吸虫病,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
646,疟疾,17.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
647,人感染H7N9禽流感,4.0,1.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
648,丙类传染病合计,31819.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
649,流行性感冒,344.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
650,流行性腮腺炎,464.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
651,风疹,21.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
652,急性出血性结膜炎,72.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
653,麻风病,1.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
654,斑疹伤寒,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
655,黑热病,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
656,包虫病,1.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
657,丝虫病,0.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
658,其它感染性腹泻病,22351.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
659,手足口病,8565.0,0.0,2014-12,2014,12,http://wsjkw.zj.gov.cn/art/2015/1/7/art_1229123469_468839.html
660,甲乙丙类总计,17170.0,36.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
661,甲乙类传染病合计,7653.0,36.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
662,鼠疫,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
663,霍乱,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
664,传染性非典型肺炎,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
665,艾滋病,88.0,18.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
666,病毒性肝炎,1619.0,1.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
667,甲型肝炎,34.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
668,乙型肝炎,1083.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
669,丙型肝炎,169.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
670,戊型肝炎,200.0,1.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
671,肝炎未分型,133.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
672,脊髓灰质炎,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
673,人感染高致病性禽流感,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
674,麻疹,107.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
675,流行性出血热,24.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
676,狂犬病,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
677,流行性乙型脑炎,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
678,登革热,2.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
679,炭疽,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
680,细菌性和阿米巴性痢疾,94.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
681,肺结核,2353.0,6.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
682,伤寒与副伤寒,40.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
683,流行性脑脊髓膜炎,1.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
684,百日咳,1.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
685,白喉,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
686,新生儿破伤风,1.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
687,猩红热,44.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
688,布鲁氏菌病,7.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
689,淋病,881.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
690,梅毒,2349.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
691,钩端螺旋体病,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
692,血吸虫病,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
693,疟疾,15.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
694,人感染H7N9禽流感,27.0,11.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
695,丙类传染病合计,9517.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
696,流行性感冒,1825.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
697,流行性腮腺炎,371.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
698,风疹,17.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
699,急性出血性结膜炎,68.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
700,麻风病,3.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
701,斑疹伤寒,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
702,黑热病,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
703,包虫病,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
704,丝虫病,0.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
705,其它感染性腹泻病,5030.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
706,手足口病,2203.0,0.0,2014-2,2014,2,http://wsjkw.zj.gov.cn/art/2014/3/10/art_1229123469_468829.html
707,甲乙丙类总计,28421.0,30.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
708,甲乙类传染病合计,9996.0,29.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
709,鼠疫,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
710,霍乱,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
711,传染性非典型肺炎,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
712,艾滋病,149.0,15.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
713,病毒性肝炎,1978.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
714,甲型肝炎,41.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
715,乙型肝炎,1379.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
716,丙型肝炎,226.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
717,戊型肝炎,209.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
718,肝炎未分型,123.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
719,脊髓灰质炎,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
720,人感染高致病性禽流感,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
721,麻疹,181.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
722,流行性出血热,22.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
723,狂犬病,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
724,流行性乙型脑炎,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
725,登革热,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
726,炭疽,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
727,细菌性和阿米巴性痢疾,99.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
728,肺结核,3315.0,6.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
729,伤寒与副伤寒,56.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
730,流行性脑脊髓膜炎,2.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
731,百日咳,5.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
732,白喉,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
733,新生儿破伤风,2.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
734,猩红热,127.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
735,布鲁氏菌病,8.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
736,淋病,997.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
737,梅毒,3042.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
738,钩端螺旋体病,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
739,血吸虫病,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
740,疟疾,13.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
741,人感染H7N9禽流感,0.0,8.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
742,丙类传染病合计,18425.0,1.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
743,流行性感冒,700.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
744,流行性腮腺炎,604.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
745,风疹,42.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
746,急性出血性结膜炎,97.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
747,麻风病,3.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
748,斑疹伤寒,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
749,黑热病,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
750,包虫病,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
751,丝虫病,0.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
752,其它感染性腹泻病,4331.0,0.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
753,手足口病,12648.0,1.0,2014-3,2014,3,http://wsjkw.zj.gov.cn/art/2014/4/9/art_1229123469_468830.html
754,甲乙丙类总计,49447.0,39.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
755,甲乙类传染病合计,10572.0,37.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
756,鼠疫,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
757,霍乱,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
758,传染性非典型肺炎,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
759,艾滋病,143.0,22.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
760,病毒性肝炎,1895.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
761,甲型肝炎,31.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
762,乙型肝炎,1315.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
763,丙型肝炎,225.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
764,戊型肝炎,189.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
765,肝炎未分型,135.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
766,脊髓灰质炎,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
767,人感染高致病性禽流感,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
768,麻疹,229.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
769,流行性出血热,39.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
770,狂犬病,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
771,流行性乙型脑炎,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
772,登革热,0.0,0.0,2014-4,2014,4,http://wsjkw.zj.gov.cn/art/2014/5/12/art_1229123469_468831.html
