疾病病种,发病数,死亡数,date
传染性非典型肺炎,0.0,0.0,2014-2
艾滋病,88.0,18.0,2014-2
病毒性肝炎,1619.0,1.0,2014-2
甲型肝炎,34.0,0.0,2014-2
乙型肝炎,1083.0,0.0,2014-2
丙型肝炎,169.0,0.0,2014-2
戊型肝炎,200.0,1.0,2014-2
肝炎未分型,133.0,0.0,2014-2
脊髓灰质炎,0.0,0.0,2014-2
人感染高致病性禽流感,0.0,0.0,2014-2
麻疹,107.0,0.0,2014-2
流行性出血热,24.0,0.0,2014-2
狂犬病,0.0,0.0,2014-2
流行性乙型脑炎,0.0,0.0,2014-2
登革热,2.0,0.0,2014-2
炭疽,0.0,0.0,2014-2
细菌性和阿米巴性痢疾,94.0,0.0,2014-2
肺结核,2353.0,6.0,2014-2
伤寒与副伤寒,40.0,0.0,2014-2
流行性脑脊髓膜炎,1.0,0.0,2014-2
百日咳,1.0,0.0,2014-2
白喉,0.0,0.0,2014-2
新生儿破伤风,1.0,0.0,2014-2
猩红热,44.0,0.0,2014-2
布鲁氏菌病,7.0,0.0,2014-2
淋病,881.0,0.0,2014-2
梅毒,2349.0,0.0,2014-2
钩端螺旋体病,0.0,0.0,2014-2
血吸虫病,0.0,0.0,2014-2
疟疾,15.0,0.0,2014-2
人感染H7N9禽流感,27.0,11.0,2014-2
丙类传染病合计,9517.0,0.0,2014-2
流行性感冒,1825.0,0.0,2014-2
流行性腮腺炎,371.0,0.0,2014-2
风疹,17.0,0.0,2014-2
急性出血性结膜炎,68.0,0.0,2014-2
麻风病,3.0,0.0,2014-2
斑疹伤寒,0.0,0.0,2014-2
黑热病,0.0,0.0,2014-2
包虫病,0.0,0.0,2014-2
丝虫病,0.0,0.0,2014-2
其它感染性腹泻病,5030.0,0.0,2014-2
手足口病,2203.0,0.0,2014-2
甲乙丙类总计,28421.0,30.0,2014-3
甲乙类传染病合计,9996.0,29.0,2014-3
鼠疫,0.0,0.0,2014-3
霍乱,0.0,0.0,2014-3
传染性非典型肺炎,0.0,0.0,2014-3
艾滋病,149.0,15.0,2014-3
病毒性肝炎,1978.0,0.0,2014-3
甲型肝炎,41.0,0.0,2014-3
乙型肝炎,1379.0,0.0,2014-3
丙型肝炎,226.0,0.0,2014-3
戊型肝炎,209.0,0.0,2014-3
肝炎未分型,123.0,0.0,2014-3
脊髓灰质炎,0.0,0.0,2014-3
人感染高致病性禽流感,0.0,0.0,2014-3
麻疹,181.0,0.0,2014-3
流行性出血热,22.0,0.0,2014-3
狂犬病,0.0,0.0,2014-3
流行性乙型脑炎,0.0,0.0,2014-3
登革热,0.0,0.0,2014-3
炭疽,0.0,0.0,2014-3
细菌性和阿米巴性痢疾,99.0,0.0,2014-3
肺结核,3315.0,6.0,2014-3
伤寒与副伤寒,56.0,0.0,2014-3
流行性脑脊髓膜炎,2.0,0.0,2014-3
百日咳,5.0,0.0,2014-3
白喉,0.0,0.0,2014-3
新生儿破伤风,2.0,0.0,2014-3
猩红热,127.0,0.0,2014-3
布鲁氏菌病,8.0,0.0,2014-3
淋病,997.0,0.0,2014-3
梅毒,3042.0,0.0,2014-3
钩端螺旋体病,0.0,0.0,2014-3
血吸虫病,0.0,0.0,2014-3
疟疾,13.0,0.0,2014-3
人感染H7N9禽流感,0.0,8.0,2014-3
丙类传染病合计,18425.0,1.0,2014-3
流行性感冒,700.0,0.0,2014-3
流行性腮腺炎,604.0,0.0,2014-3
风疹,42.0,0.0,2014-3
急性出血性结膜炎,97.0,0.0,2014-3
麻风病,3.0,0.0,2014-3
斑疹伤寒,0.0,0.0,2014-3
黑热病,0.0,0.0,2014-3
包虫病,0.0,0.0,2014-3
丝虫病,0.0,0.0,2014-3
其它感染性腹泻病,4331.0,0.0,2014-3
手足口病,12648.0,1.0,2014-3
甲乙丙类总计,49447.0,39.0,2014-4
甲乙类传染病合计,10572.0,37.0,2014-4
鼠疫,0.0,0.0,2014-4
霍乱,0.0,0.0,2014-4
传染性非典型肺炎,0.0,0.0,2014-4
艾滋病,143.0,22.0,2014-4
病毒性肝炎,1895.0,0.0,2014-4
甲型肝炎,31.0,0.0,2014-4
乙型肝炎,1315.0,0.0,2014-4
丙型肝炎,225.0,0.0,2014-4
戊型肝炎,189.0,0.0,2014-4
肝炎未分型,135.0,0.0,2014-4
脊髓灰质炎,0.0,0.0,2014-4
人感染高致病性禽流感,0.0,0.0,2014-4
麻疹,229.0,0.0,2014-4
流行性出血热,39.0,0.0,2014-4
狂犬病,0.0,0.0,2014-4
流行性乙型脑炎,0.0,0.0,2014-4
登革热,0.0,0.0,2014-4
炭疽,0.0,0.0,2014-4
细菌性和阿米巴性痢疾,151.0,0.0,2014-4
肺结核,3652.0,14.0,2014-4
伤寒与副伤寒,55.0,0.0,2014-4
流行性脑脊髓膜炎,1.0,0.0,2014-4
百日咳,7.0,0.0,2014-4
白喉,0.0,0.0,2014-4
新生儿破伤风,1.0,0.0,2014-4
猩红热,183.0,0.0,2014-4
布鲁氏菌病,12.0,0.0,2014-4
淋病,1093.0,0.0,2014-4
梅毒,3096.0,0.0,2014-4
钩端螺旋体病,0.0,0.0,2014-4
血吸虫病,1.0,0.0,2014-4
疟疾,14.0,0.0,2014-4
人感染H7N9禽流感,0.0,1.0,2014-4
丙类传染病合计,38875.0,2.0,2014-4
流行性感冒,398.0,0.0,2014-4
流行性腮腺炎,839.0,0.0,2014-4
风疹,50.0,0.0,2014-4
急性出血性结膜炎,106.0,0.0,2014-4
麻风病,1.0,0.0,2014-4
斑疹伤寒,1.0,0.0,2014-4
黑热病,0.0,0.0,2014-4
包虫病,0.0,0.0,2014-4
丝虫病,0.0,0.0,2014-4
其它感染性腹泻病,4110.0,0.0,2014-4
手足口病,33370.0,2.0,2014-4
甲乙丙类总计,51405.0,27.0,2014-5
甲乙类传染病合计,11004.0,23.0,2014-5
鼠疫,0.0,0.0,2014-5
霍乱,0.0,0.0,2014-5
传染性非典型肺炎,0.0,0.0,2014-5
艾滋病,129.0,15.0,2014-5
病毒性肝炎,2002.0,1.0,2014-5
甲型肝炎,29.0,0.0,2014-5
乙型肝炎,1392.0,0.0,2014-5
丙型肝炎,237.0,0.0,2014-5
戊型肝炎,160.0,1.0,2014-5
肝炎未分型,184.0,0.0,2014-5
脊髓灰质炎,0.0,0.0,2014-5
人感染高致病性禽流感,0.0,0.0,2014-5
麻疹,169.0,0.0,2014-5
流行性出血热,46.0,0.0,2014-5
狂犬病,1.0,1.0,2014-5
流行性乙型脑炎,0.0,0.0,2014-5
登革热,5.0,0.0,2014-5
炭疽,0.0,0.0,2014-5
细菌性和阿米巴性痢疾,243.0,0.0,2014-5
肺结核,3365.0,6.0,2014-5
伤寒与副伤寒,49.0,0.0,2014-5
流行性脑脊髓膜炎,0.0,0.0,2014-5
百日咳,10.0,0.0,2014-5
白喉,0.0,0.0,2014-5
新生儿破伤风,1.0,0.0,2014-5
猩红热,297.0,0.0,2014-5
布鲁氏菌病,19.0,0.0,2014-5
淋病,1308.0,0.0,2014-5
梅毒,3347.0,0.0,2014-5
钩端螺旋体病,0.0,0.0,2014-5
血吸虫病,0.0,0.0,2014-5
疟疾,13.0,0.0,2014-5
人感染H7N9禽流感,0.0,0.0,2014-5
丙类传染病合计,40401.0,4.0,2014-5
流行性感冒,243.0,0.0,2014-5
流行性腮腺炎,1140.0,0.0,2014-5
风疹,36.0,0.0,2014-5
急性出血性结膜炎,121.0,0.0,2014-5
麻风病,4.0,0.0,2014-5
斑疹伤寒,1.0,0.0,2014-5
黑热病,1.0,0.0,2014-5
包虫病,0.0,0.0,2014-5
丝虫病,0.0,0.0,2014-5
其它感染性腹泻病,5762.0,0.0,2014-5
手足口病,33093.0,4.0,2014-5
甲乙丙类总计,52089.0,21.0,2014-6
甲乙类传染病合计,10420.0,18.0,2014-6
鼠疫,0.0,0.0,2014-6
霍乱,1.0,0.0,2014-6
传染性非典型肺炎,0.0,0.0,2014-6
艾滋病,128.0,11.0,2014-6
病毒性肝炎,1885.0,0.0,2014-6
甲型肝炎,37.0,0.0,2014-6
乙型肝炎,1336.0,0.0,2014-6
丙型肝炎,223.0,0.0,2014-6
戊型肝炎,123.0,0.0,2014-6
肝炎未分型,166.0,0.0,2014-6
脊髓灰质炎,0.0,0.0,2014-6
人感染高致病性禽流感,0.0,0.0,2014-6
麻疹,76.0,0.0,2014-6
流行性出血热,53.0,0.0,2014-6
狂犬病,0.0,0.0,2014-6
流行性乙型脑炎,0.0,0.0,2014-6
登革热,3.0,0.0,2014-6
炭疽,0.0,0.0,2014-6
细菌性和阿米巴性痢疾,253.0,0.0,2014-6
肺结核,3232.0,7.0,2014-6
伤寒与副伤寒,61.0,0.0,2014-6
流行性脑脊髓膜炎,0.0,0.0,2014-6
百日咳,10.0,0.0,2014-6
白喉,0.0,0.0,2014-6
新生儿破伤风,0.0,0.0,2014-6
猩红热,224.0,0.0,2014-6
布鲁氏菌病,11.0,0.0,2014-6
淋病,1294.0,0.0,2014-6
梅毒,3172.0,0.0,2014-6
钩端螺旋体病,0.0,0.0,2014-6
血吸虫病,1.0,0.0,2014-6
疟疾,15.0,0.0,2014-6
人感染H7N9禽流感,1.0,0.0,2014-6
丙类传染病合计,41669.0,3.0,2014-6
流行性感冒,212.0,0.0,2014-6
流行性腮腺炎,1059.0,0.0,2014-6
风疹,44.0,0.0,2014-6
急性出血性结膜炎,140.0,0.0,2014-6
麻风病,3.0,0.0,2014-6
斑疹伤寒,1.0,1.0,2014-6
黑热病,0.0,0.0,2014-6
包虫病,0.0,0.0,2014-6
丝虫病,0.0,0.0,2014-6
其它感染性腹泻病,7232.0,0.0,2014-6
手足口病,32978.0,2.0,2014-6
甲乙丙类总计,43607.0,43.0,2014-7
甲乙类传染病合计,11363.0,38.0,2014-7
鼠疫,0.0,0.0,2014-7
霍乱,1.0,0.0,2014-7
传染性非典型肺炎,0.0,0.0,2014-7
艾滋病,154.0,29.0,2014-7
病毒性肝炎,1950.0,1.0,2014-7
甲型肝炎,63.0,0.0,2014-7
乙型肝炎,1371.0,1.0,2014-7
丙型肝炎,228.0,0.0,2014-7
戊型肝炎,143.0,0.0,2014-7
肝炎未分型,145.0,0.0,2014-7
脊髓灰质炎,0.0,0.0,2014-7
人感染高致病性禽流感,0.0,0.0,2014-7
麻疹,62.0,0.0,2014-7
流行性出血热,38.0,0.0,2014-7
狂犬病,0.0,0.0,2014-7
流行性乙型脑炎,17.0,2.0,2014-7
登革热,5.0,0.0,2014-7
炭疽,0.0,0.0,2014-7
细菌性和阿米巴性痢疾,371.0,0.0,2014-7
肺结核,3630.0,6.0,2014-7
伤寒与副伤寒,50.0,0.0,2014-7
流行性脑脊髓膜炎,0.0,0.0,2014-7
百日咳,12.0,0.0,2014-7
白喉,0.0,0.0,2014-7
新生儿破伤风,4.0,0.0,2014-7
猩红热,129.0,0.0,2014-7
布鲁氏菌病,11.0,0.0,2014-7
淋病,1458.0,0.0,2014-7
梅毒,3456.0,0.0,2014-7
钩端螺旋体病,1.0,0.0,2014-7
血吸虫病,1.0,0.0,2014-7
疟疾,13.0,0.0,2014-7
人感染H7N9禽流感,0.0,0.0,2014-7
丙类传染病合计,32244.0,5.0,2014-7
流行性感冒,627.0,0.0,2014-7
流行性腮腺炎,1054.0,0.0,2014-7
风疹,31.0,0.0,2014-7
急性出血性结膜炎,116.0,0.0,2014-7
麻风病,2.0,0.0,2014-7
斑疹伤寒,1.0,0.0,2014-7
黑热病,0.0,0.0,2014-7
包虫病,0.0,0.0,2014-7
丝虫病,0.0,0.0,2014-7
其它感染性腹泻病,8950.0,0.0,2014-7
手足口病,21463.0,5.0,2014-7
甲乙丙类总计,31998.0,28.0,2014-8
甲乙类传染病合计,10707.0,28.0,2014-8
鼠疫,0.0,0.0,2014-8
霍乱,3.0,0.0,2014-8
传染性非典型肺炎,0.0,0.0,2014-8
艾滋病,128.0,19.0,2014-8
病毒性肝炎,1843.0,0.0,2014-8
甲型肝炎,51.0,0.0,2014-8
乙型肝炎,1280.0,0.0,2014-8
丙型肝炎,234.0,0.0,2014-8
戊型肝炎,120.0,0.0,2014-8
肝炎未分型,158.0,0.0,2014-8
脊髓灰质炎,0.0,0.0,2014-8
人感染高致病性禽流感,0.0,0.0,2014-8
麻疹,59.0,0.0,2014-8
流行性出血热,15.0,0.0,2014-8
狂犬病,2.0,1.0,2014-8
流行性乙型脑炎,7.0,0.0,2014-8
登革热,1.0,0.0,2014-8
炭疽,0.0,0.0,2014-8
细菌性和阿米巴性痢疾,358.0,0.0,2014-8
肺结核,3622.0,8.0,2014-8
伤寒与副伤寒,55.0,0.0,2014-8
流行性脑脊髓膜炎,1.0,0.0,2014-8
百日咳,13.0,0.0,2014-8
白喉,0.0,0.0,2014-8
新生儿破伤风,2.0,0.0,2014-8
猩红热,75.0,0.0,2014-8
布鲁氏菌病,11.0,0.0,2014-8
淋病,1415.0,0.0,2014-8
梅毒,3073.0,0.0,2014-8
钩端螺旋体病,3.0,0.0,2014-8
血吸虫病,0.0,0.0,2014-8
疟疾,21.0,0.0,2014-8
人感染H7N9禽流感,0.0,0.0,2014-8
丙类传染病合计,21291.0,0.0,2014-8
流行性感冒,1236.0,0.0,2014-8
流行性腮腺炎,780.0,0.0,2014-8
风疹,22.0,0.0,2014-8
急性出血性结膜炎,91.0,0.0,2014-8
麻风病,1.0,0.0,2014-8
斑疹伤寒,0.0,0.0,2014-8
黑热病,0.0,0.0,2014-8
包虫病,0.0,0.0,2014-8
丝虫病,0.0,0.0,2014-8
其它感染性腹泻病,10024.0,0.0,2014-8
手足口病,9137.0,0.0,2014-8
甲乙丙类总计,42475.0,21.0,2014-9
甲乙类传染病合计,10298.0,21.0,2014-9
鼠疫,0.0,0.0,2014-9
霍乱,1.0,0.0,2014-9
传染性非典型肺炎,0.0,0.0,2014-9
艾滋病,143.0,9.0,2014-9
病毒性肝炎,1805.0,0.0,2014-9
甲型肝炎,50.0,0.0,2014-9
乙型肝炎,1235.0,0.0,2014-9
丙型肝炎,231.0,0.0,2014-9
戊型肝炎,145.0,0.0,2014-9
肝炎未分型,144.0,0.0,2014-9
脊髓灰质炎,0.0,0.0,2014-9
人感染高致病性禽流感,0.0,0.0,2014-9
麻疹,93.0,0.0,2014-9
流行性出血热,18.0,0.0,2014-9
狂犬病,1.0,2.0,2014-9
流行性乙型脑炎,1.0,0.0,2014-9
登革热,2.0,0.0,2014-9
炭疽,0.0,0.0,2014-9
细菌性和阿米巴性痢疾,272.0,0.0,2014-9
肺结核,3291.0,9.0,2014-9
伤寒与副伤寒,50.0,0.0,2014-9
流行性脑脊髓膜炎,0.0,0.0,2014-9
百日咳,16.0,0.0,2014-9
白喉,0.0,0.0,2014-9
新生儿破伤风,2.0,0.0,2014-9
猩红热,56.0,0.0,2014-9
布鲁氏菌病,3.0,0.0,2014-9
淋病,1432.0,0.0,2014-9
梅毒,3090.0,0.0,2014-9
钩端螺旋体病,3.0,1.0,2014-9
血吸虫病,1.0,0.0,2014-9
疟疾,18.0,0.0,2014-9
人感染H7N9禽流感,0.0,0.0,2014-9
丙类传染病合计,32177.0,0.0,2014-9
流行性感冒,508.0,0.0,2014-9
流行性腮腺炎,875.0,0.0,2014-9
风疹,13.0,0.0,2014-9
急性出血性结膜炎,105.0,0.0,2014-9
麻风病,2.0,0.0,2014-9
斑疹伤寒,0.0,0.0,2014-9
黑热病,0.0,0.0,2014-9
包虫病,0.0,0.0,2014-9
丝虫病,0.0,0.0,2014-9
其它感染性腹泻病,8398.0,0.0,2014-9
手足口病,22276.0,0.0,2014-9
甲乙丙类总计,27948.0,28.0,2015-1
甲乙类传染病合计,9369.0,28.0,2015-1
鼠疫,0.0,0.0,2015-1
霍乱,0.0,0.0,2015-1
传染性非典型肺炎,0.0,0.0,2015-1
艾滋病,117.0,15.0,2015-1
病毒性肝炎,1701.0,1.0,2015-1
甲型肝炎,31.0,0.0,2015-1
乙型肝炎,1120.0,0.0,2015-1
丙型肝炎,269.0,0.0,2015-1
戊型肝炎,170.0,1.0,2015-1
肝炎未分型,111.0,0.0,2015-1
脊髓灰质炎,0.0,0.0,2015-1
人感染高致病性禽流感,0.0,0.0,2015-1
麻疹,50.0,0.0,2015-1
流行性出血热,30.0,1.0,2015-1
狂犬病,0.0,0.0,2015-1
流行性乙型脑炎,0.0,1.0,2015-1
登革热,0.0,0.0,2015-1
炭疽,0.0,0.0,2015-1
细菌性和阿米巴性痢疾,120.0,0.0,2015-1
肺结核,2835.0,9.0,2015-1
伤寒与副伤寒,31.0,0.0,2015-1
流行性脑脊髓膜炎,2.0,0.0,2015-1
百日咳,10.0,0.0,2015-1
白喉,0.0,0.0,2015-1
新生儿破伤风,3.0,0.0,2015-1
猩红热,399.0,0.0,2015-1
布鲁氏菌病,7.0,0.0,2015-1
淋病,1413.0,0.0,2015-1
梅毒,2631.0,0.0,2015-1
钩端螺旋体病,0.0,0.0,2015-1
血吸虫病,1.0,0.0,2015-1
疟疾,8.0,0.0,2015-1
人感染H7N9禽流感,11.0,1.0,2015-1
丙类传染病合计,18579.0,0.0,2015-1
流行性感冒,1150.0,0.0,2015-1
流行性腮腺炎,422.0,0.0,2015-1
风疹,16.0,0.0,2015-1
急性出血性结膜炎,113.0,0.0,2015-1
麻风病,3.0,0.0,2015-1
斑疹伤寒,0.0,0.0,2015-1
黑热病,0.0,0.0,2015-1
包虫病,0.0,0.0,2015-1
丝虫病,0.0,0.0,2015-1
其它感染性腹泻病,13920.0,0.0,2015-1
手足口病,2955.0,0.0,2015-1
甲乙丙类总计,24930.0,18.0,2015-10
甲乙类传染病合计,9945.0,18.0,2015-10
鼠疫,0.0,0.0,2015-10
霍乱,2.0,0.0,2015-10
传染性非典型肺炎,0.0,0.0,2015-10
艾滋病,141.0,14.0,2015-10
病毒性肝炎,1706.0,0.0,2015-10
甲型肝炎,31.0,0.0,2015-10
乙型肝炎,1180.0,0.0,2015-10
丙型肝炎,220.0,0.0,2015-10
戊型肝炎,141.0,0.0,2015-10
肝炎未分型,134.0,0.0,2015-10
脊髓灰质炎,0.0,0.0,2015-10
人感染高致病性禽流感,0.0,0.0,2015-10
麻疹,28.0,0.0,2015-10
流行性出血热,23.0,0.0,2015-10
狂犬病,1.0,0.0,2015-10
流行性乙型脑炎,0.0,0.0,2015-10
登革热,8.0,0.0,2015-10
炭疽,0.0,0.0,2015-10
细菌性和阿米巴性痢疾,217.0,0.0,2015-10
肺结核,2835.0,4.0,2015-10
伤寒与副伤寒,39.0,0.0,2015-10
流行性脑脊髓膜炎,0.0,0.0,2015-10
百日咳,13.0,0.0,2015-10
白喉,0.0,0.0,2015-10
新生儿破伤风,4.0,0.0,2015-10
猩红热,174.0,0.0,2015-10
布鲁氏菌病,0.0,0.0,2015-10
淋病,1492.0,0.0,2015-10
梅毒,3238.0,0.0,2015-10
钩端螺旋体病,6.0,0.0,2015-10
血吸虫病,0.0,0.0,2015-10
疟疾,16.0,0.0,2015-10
人感染H7N9禽流感,2.0,0.0,2015-10
丙类传染病合计,14985.0,0.0,2015-10
流行性感冒,117.0,0.0,2015-10
流行性腮腺炎,586.0,0.0,2015-10
风疹,16.0,0.0,2015-10
急性出血性结膜炎,70.0,0.0,2015-10
麻风病,1.0,0.0,2015-10
斑疹伤寒,0.0,0.0,2015-10
黑热病,0.0,0.0,2015-10
包虫病,0.0,0.0,2015-10
丝虫病,0.0,0.0,2015-10
其它感染性腹泻病,7055.0,0.0,2015-10
手足口病,7140.0,0.0,2015-10
甲乙丙类总计,26733.0,27.0,2015-11
甲乙类传染病合计,9420.0,27.0,2015-11
鼠疫,0.0,0.0,2015-11
霍乱,0.0,0.0,2015-11
传染性非典型肺炎,0.0,0.0,2015-11
艾滋病,134.0,16.0,2015-11
病毒性肝炎,1761.0,0.0,2015-11
甲型肝炎,37.0,0.0,2015-11
乙型肝炎,1210.0,0.0,2015-11
丙型肝炎,215.0,0.0,2015-11
戊型肝炎,166.0,0.0,2015-11
肝炎未分型,133.0,0.0,2015-11
脊髓灰质炎,0.0,0.0,2015-11
人感染高致病性禽流感,0.0,0.0,2015-11
麻疹,8.0,0.0,2015-11
流行性出血热,53.0,0.0,2015-11
狂犬病,1.0,2.0,2015-11
流行性乙型脑炎,0.0,0.0,2015-11
登革热,6.0,0.0,2015-11
炭疽,0.0,0.0,2015-11
细菌性和阿米巴性痢疾,152.0,0.0,2015-11
肺结核,2707.0,7.0,2015-11
伤寒与副伤寒,25.0,0.0,2015-11
流行性脑脊髓膜炎,0.0,0.0,2015-11
百日咳,4.0,0.0,2015-11
白喉,0.0,0.0,2015-11
新生儿破伤风,1.0,1.0,2015-11
猩红热,220.0,0.0,2015-11
布鲁氏菌病,3.0,0.0,2015-11
淋病,1549.0,0.0,2015-11
梅毒,2784.0,0.0,2015-11
钩端螺旋体病,0.0,0.0,2015-11
血吸虫病,2.0,0.0,2015-11
疟疾,9.0,0.0,2015-11
人感染H7N9禽流感,1.0,1.0,2015-11
丙类传染病合计,17313.0,0.0,2015-11
流行性感冒,128.0,0.0,2015-11
流行性腮腺炎,577.0,0.0,2015-11
风疹,8.0,0.0,2015-11
急性出血性结膜炎,54.0,0.0,2015-11
麻风病,0.0,0.0,2015-11
斑疹伤寒,1.0,0.0,2015-11
黑热病,1.0,0.0,2015-11
包虫病,0.0,0.0,2015-11
丝虫病,0.0,0.0,2015-11
其它感染性腹泻病,6347.0,0.0,2015-11
手足口病,10197.0,0.0,2015-11
甲乙丙类总计,37318.0,27.0,2015-12
甲乙类传染病合计,9694.0,27.0,2015-12
鼠疫,0.0,0.0,2015-12
霍乱,0.0,0.0,2015-12
传染性非典型肺炎,0.0,0.0,2015-12
艾滋病,236.0,11.0,2015-12
病毒性肝炎,1776.0,2.0,2015-12
甲型肝炎,36.0,0.0,2015-12
乙型肝炎,1150.0,2.0,2015-12
丙型肝炎,245.0,0.0,2015-12
戊型肝炎,194.0,0.0,2015-12
肝炎未分型,151.0,0.0,2015-12
脊髓灰质炎,0.0,0.0,2015-12
人感染高致病性禽流感,0.0,0.0,2015-12
麻疹,2.0,0.0,2015-12
流行性出血热,54.0,0.0,2015-12
狂犬病,0.0,0.0,2015-12
流行性乙型脑炎,1.0,0.0,2015-12
登革热,3.0,0.0,2015-12
炭疽,0.0,0.0,2015-12
细菌性和阿米巴性痢疾,123.0,0.0,2015-12
肺结核,2759.0,12.0,2015-12
伤寒与副伤寒,14.0,0.0,2015-12
流行性脑脊髓膜炎,2.0,0.0,2015-12
百日咳,1.0,0.0,2015-12
白喉,0.0,0.0,2015-12
新生儿破伤风,2.0,0.0,2015-12
猩红热,320.0,0.0,2015-12
布鲁氏菌病,4.0,0.0,2015-12
淋病,1651.0,0.0,2015-12
梅毒,2724.0,0.0,2015-12
钩端螺旋体病,0.0,0.0,2015-12
血吸虫病,0.0,0.0,2015-12
疟疾,16.0,0.0,2015-12
人感染H7N9禽流感,6.0,2.0,2015-12
丙类传染病合计,27624.0,0.0,2015-12
流行性感冒,416.0,0.0,2015-12
流行性腮腺炎,432.0,0.0,2015-12
风疹,7.0,0.0,2015-12
急性出血性结膜炎,61.0,0.0,2015-12
麻风病,0.0,0.0,2015-12
斑疹伤寒,0.0,0.0,2015-12
黑热病,0.0,0.0,2015-12
包虫病,0.0,0.0,2015-12
丝虫病,0.0,0.0,2015-12
其它感染性腹泻病,15300.0,0.0,2015-12
手足口病,11408.0,0.0,2015-12
甲乙丙类总计,15234.0,17.0,2015-2
甲乙类传染病合计,6974.0,17.0,2015-2
鼠疫,0.0,0.0,2015-2
霍乱,0.0,0.0,2015-2
传染性非典型肺炎,0.0,0.0,2015-2
艾滋病,74.0,7.0,2015-2
病毒性肝炎,1405.0,2.0,2015-2
甲型肝炎,37.0,0.0,2015-2
乙型肝炎,946.0,0.0,2015-2
丙型肝炎,163.0,0.0,2015-2
戊型肝炎,162.0,2.0,2015-2
肝炎未分型,97.0,0.0,2015-2
脊髓灰质炎,0.0,0.0,2015-2
人感染高致病性禽流感,0.0,0.0,2015-2
麻疹,93.0,0.0,2015-2
流行性出血热,21.0,0.0,2015-2
狂犬病,1.0,1.0,2015-2
流行性乙型脑炎,0.0,0.0,2015-2
登革热,0.0,0.0,2015-2
炭疽,0.0,0.0,2015-2
细菌性和阿米巴性痢疾,120.0,0.0,2015-2
肺结核,2172.0,4.0,2015-2
伤寒与副伤寒,21.0,0.0,2015-2
流行性脑脊髓膜炎,0.0,0.0,2015-2
百日咳,9.0,0.0,2015-2
白喉,0.0,0.0,2015-2
新生儿破伤风,0.0,0.0,2015-2
猩红热,216.0,0.0,2015-2
布鲁氏菌病,5.0,0.0,2015-2
淋病,972.0,0.0,2015-2
梅毒,1841.0,0.0,2015-2
钩端螺旋体病,0.0,0.0,2015-2
血吸虫病,1.0,0.0,2015-2
疟疾,12.0,0.0,2015-2
人感染H7N9禽流感,11.0,3.0,2015-2
丙类传染病合计,8260.0,0.0,2015-2
流行性感冒,783.0,0.0,2015-2
流行性腮腺炎,245.0,0.0,2015-2
风疹,10.0,0.0,2015-2
急性出血性结膜炎,85.0,0.0,2015-2
麻风病,1.0,0.0,2015-2
斑疹伤寒,0.0,0.0,2015-2
黑热病,0.0,0.0,2015-2
包虫病,0.0,0.0,2015-2
丝虫病,0.0,0.0,2015-2
其它感染性腹泻病,5952.0,0.0,2015-2
手足口病,1184.0,0.0,2015-2
甲乙丙类总计,20029.0,43.0,2015-3
甲乙类传染病合计,10210.0,43.0,2015-3
鼠疫,0.0,0.0,2015-3
霍乱,0.0,0.0,2015-3
传染性非典型肺炎,0.0,0.0,2015-3
艾滋病,138.0,24.0,2015-3
病毒性肝炎,1960.0,0.0,2015-3
甲型肝炎,40.0,0.0,2015-3
乙型肝炎,1298.0,0.0,2015-3
丙型肝炎,292.0,0.0,2015-3
戊型肝炎,195.0,0.0,2015-3
肝炎未分型,135.0,0.0,2015-3
脊髓灰质炎,0.0,0.0,2015-3
人感染高致病性禽流感,0.0,0.0,2015-3
麻疹,233.0,0.0,2015-3
流行性出血热,21.0,2.0,2015-3
狂犬病,0.0,0.0,2015-3
流行性乙型脑炎,0.0,0.0,2015-3
登革热,4.0,0.0,2015-3
炭疽,0.0,0.0,2015-3
细菌性和阿米巴性痢疾,134.0,0.0,2015-3
肺结核,3296.0,7.0,2015-3
伤寒与副伤寒,24.0,0.0,2015-3
流行性脑脊髓膜炎,1.0,0.0,2015-3
百日咳,23.0,0.0,2015-3
白喉,0.0,0.0,2015-3
新生儿破伤风,3.0,0.0,2015-3
猩红热,228.0,0.0,2015-3
布鲁氏菌病,5.0,0.0,2015-3
淋病,1175.0,0.0,2015-3
梅毒,2943.0,0.0,2015-3
钩端螺旋体病,0.0,0.0,2015-3
血吸虫病,0.0,0.0,2015-3
疟疾,12.0,0.0,2015-3
人感染H7N9禽流感,10.0,10.0,2015-3
丙类传染病合计,9819.0,0.0,2015-3
流行性感冒,578.0,0.0,2015-3
流行性腮腺炎,463.0,0.0,2015-3
风疹,48.0,0.0,2015-3
急性出血性结膜炎,83.0,0.0,2015-3
麻风病,2.0,0.0,2015-3
斑疹伤寒,0.0,0.0,2015-3
黑热病,0.0,0.0,2015-3
包虫病,0.0,0.0,2015-3
丝虫病,0.0,0.0,2015-3
其它感染性腹泻病,6090.0,0.0,2015-3
手足口病,2555.0,0.0,2015-3
甲乙丙类总计,31323.0,31.0,2015-5
甲乙类传染病合计,11237.0,31.0,2015-5
鼠疫,0.0,0.0,2015-5
霍乱,0.0,0.0,2015-5
传染性非典型肺炎,0.0,0.0,2015-5
艾滋病,130.0,23.0,2015-5
病毒性肝炎,1953.0,0.0,2015-5
甲型肝炎,38.0,0.0,2015-5
乙型肝炎,1407.0,0.0,2015-5
丙型肝炎,264.0,0.0,2015-5
