"","date","value","disease_1","disease","source"
"1344",2019-04-01,473,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1345",2009-12-01,18,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1346",2009-12-01,63,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1350",2010-01-01,13313,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1351",2010-01-01,103554,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"1352",2010-01-01,0,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"1355",2010-01-01,648,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1356",2019-03-01,116329,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1357",2010-01-01,511,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1359",2010-01-01,238,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"1360",2010-01-01,2165,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1361",2010-01-01,661,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1363",2010-01-01,2288,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1364",2010-01-01,37356,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1365",2010-01-01,114,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1366",2010-01-01,93,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1368",2010-01-01,27062,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1369",2010-01-01,50,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1370",2010-01-01,10501,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1371",2010-01-01,18088,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1373",2010-01-01,9242,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1374",2010-01-01,9,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1376",2010-01-01,128,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1377",2010-01-01,941,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1378",2010-01-01,2496,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"1379",2010-01-01,289,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1381",2010-01-01,8976,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"1382",2010-01-01,4,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1383",2010-01-01,102,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"1386",2010-01-01,125274,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1387",2010-01-01,3623,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1388",2010-01-01,96017,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1390",2010-01-01,1360,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"1392",2010-01-01,180,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1393",2010-01-01,9,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1397",2010-01-01,1063,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1398",2019-03-01,267,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1399",2010-01-01,66,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1400",2010-01-01,37,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1404",2010-02-01,9324,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1405",2010-02-01,1,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"1406",2010-02-01,556,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1407",2019-02-01,120881,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1408",2010-02-01,329,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1409",2010-02-01,2427,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1410",2010-02-01,517,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1411",2010-02-01,2304,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1412",2010-02-01,23057,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1413",2010-02-01,84,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1414",2010-02-01,76,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1415",2010-02-01,20326,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1416",2010-02-01,6340,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1417",2010-02-01,11143,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1418",2010-02-01,6636,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1419",2010-02-01,7,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1420",2010-02-01,115,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1421",2010-02-01,423,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1422",2010-02-01,207,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1423",2010-02-01,1,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1424",2010-02-01,91029,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1425",2010-02-01,3360,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1426",2010-02-01,81927,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1428",2010-02-01,5,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1430",2010-02-01,982,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1431",2019-02-01,156,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1432",2010-02-01,37,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1433",2010-02-01,30,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1434",2010-02-01,1096,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"1435",2010-02-01,74025,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"1439",2010-02-01,139,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"1442",2010-02-01,63,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1444",2010-02-01,2016,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"1446",2010-02-01,8156,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"1447",2010-02-01,86,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"1451",2010-02-01,153,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1457",2010-03-01,14915,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1458",2010-03-01,858,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1459",2019-01-01,124502,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1460",2010-03-01,415,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1461",2010-03-01,3454,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1462",2010-03-01,913,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1463",2010-03-01,3076,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1464",2010-03-01,82631,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1465",2010-03-01,106,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1466",2010-03-01,85,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1467",2010-03-01,30943,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1468",2010-03-01,8484,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1469",2010-03-01,13149,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1470",2010-03-01,8565,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1471",2010-03-01,11,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1472",2010-03-01,150,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1473",2010-03-01,877,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1474",2010-03-01,307,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1475",2010-03-01,1,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1476",2010-03-01,127977,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1477",2010-03-01,4119,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1478",2010-03-01,96888,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1480",2010-03-01,6,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1482",2010-03-01,2880,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1483",2019-01-01,178,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1484",2010-03-01,41,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1485",2010-03-01,47,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1486",2010-03-01,1727,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"1487",2010-03-01,103075,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"1491",2010-03-01,273,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"1494",2010-03-01,51,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1496",2010-03-01,2792,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"1498",2010-03-01,11107,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"1499",2010-03-01,129,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"1503",2010-03-01,298,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1506",2010-04-01,3,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"1510",2010-04-01,13621,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1511",2010-04-01,975,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1512",2018-12-01,108329,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1513",2010-04-01,503,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1514",2010-04-01,4074,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1515",2010-04-01,1062,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1516",2010-04-01,2567,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1517",2010-04-01,254499,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1518",2010-04-01,137,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1519",2010-04-01,70,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1520",2010-04-01,29214,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1521",2010-04-01,5896,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1522",2010-04-01,23364,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1523",2010-04-01,8424,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1524",2010-04-01,22,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1525",2010-04-01,145,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1526",2010-04-01,1385,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1527",2010-04-01,484,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1528",2010-04-01,2,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1529",2010-04-01,115159,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1530",2010-04-01,4014,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1531",2010-04-01,94483,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1533",2010-04-01,19,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1535",2010-04-01,7454,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1536",2018-12-01,185,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1537",2010-04-01,37,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1538",2010-04-01,53,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1539",2010-04-01,1577,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"1540",2010-04-01,92059,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"1544",2010-04-01,155,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"1547",2010-04-01,49,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1549",2010-04-01,2898,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"1551",2010-04-01,14237,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"1552",2010-04-01,146,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"1556",2010-04-01,304,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1559",2010-05-01,4,"霍乱",NA,"Monthly Notifiable Infectious Diseases Reports"
"1560",2010-05-01,17,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"1564",2010-05-01,13608,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1565",2010-05-01,1235,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1566",2018-11-01,93757,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1567",2010-05-01,635,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1568",2010-05-01,4696,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1569",2010-05-01,1388,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1570",2010-05-01,2180,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1571",2010-05-01,353104,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1572",2010-05-01,169,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1573",2010-05-01,64,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1574",2010-05-01,32772,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1575",2010-05-01,3697,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1576",2010-05-01,38371,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1577",2010-05-01,9429,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1578",2010-05-01,26,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1579",2010-05-01,157,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1580",2010-05-01,2323,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1581",2010-05-01,828,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1582",2010-05-01,4,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1583",2010-05-01,116189,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1584",2010-05-01,4189,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1585",2010-05-01,92660,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1587",2010-05-01,41,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1589",2010-05-01,13381,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1590",2018-11-01,223,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1591",2010-05-01,40,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1592",2010-05-01,31,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1593",2010-05-01,1710,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"1594",2010-05-01,93190,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"1598",2010-05-01,194,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"1601",2010-05-01,29,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1603",2010-05-01,3022,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"1605",2010-05-01,23167,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"1606",2010-05-01,197,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"1610",2010-05-01,354,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1613",2010-06-01,1,"霍乱",NA,"Monthly Notifiable Infectious Diseases Reports"
"1614",2010-06-01,129,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"1618",2010-06-01,12771,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1619",2010-06-01,1239,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1620",2018-10-01,83377,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1621",2010-06-01,724,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1622",2010-06-01,4598,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1623",2010-06-01,1549,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1624",2010-06-01,1719,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1625",2010-06-01,338524,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1626",2010-06-01,206,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1627",2010-06-01,105,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1628",2010-06-01,32957,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1629",2010-06-01,2617,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1630",2010-06-01,43256,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1631",2010-06-01,9296,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1632",2010-06-01,26,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1633",2010-06-01,189,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1634",2010-06-01,2333,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1635",2010-06-01,933,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1636",2010-06-01,1,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1637",2010-06-01,109129,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1638",2010-06-01,3744,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1639",2010-06-01,86795,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1641",2010-06-01,51,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1643",2010-06-01,8526,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1644",2018-10-01,168,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1645",2010-06-01,30,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1646",2010-06-01,30,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1647",2010-06-01,1520,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"1648",2010-06-01,87924,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"1652",2010-06-01,255,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"1655",2010-06-01,11,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1657",2010-06-01,2971,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"1659",2010-06-01,28627,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"1660",2010-06-01,218,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"1664",2010-06-01,493,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1667",2010-06-01,1,"鼠疫",NA,"Monthly Notifiable Infectious Diseases Reports"
"1671",2010-07-01,13288,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1672",2010-07-01,476,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"1673",2010-07-01,1613,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1674",2018-09-01,94767,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1675",2010-07-01,538,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1676",2010-07-01,3923,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1677",2010-07-01,1668,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1678",2010-07-01,1584,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1679",2010-07-01,249533,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1680",2010-07-01,244,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1681",2010-07-01,85,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1682",2010-07-01,33773,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1683",2010-07-01,2644,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1684",2010-07-01,35711,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1685",2010-07-01,9502,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1686",2010-07-01,49,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1687",2010-07-01,197,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1688",2010-07-01,1460,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1689",2010-07-01,1045,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1690",2010-07-01,15,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1691",2010-07-01,112103,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1692",2010-07-01,3731,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1693",2010-07-01,81888,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1695",2010-07-01,67,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1697",2010-07-01,3400,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1698",2018-09-01,172,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1699",2010-07-01,35,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1700",2010-07-01,23,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1701",2010-07-01,1523,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"1702",2010-07-01,11,"霍乱",NA,"Monthly Notifiable Infectious Diseases Reports"
"1703",2010-07-01,90290,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"1707",2010-07-01,245,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"1710",2010-07-01,6,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1713",2010-07-01,3210,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"1715",2010-07-01,37117,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"1716",2010-07-01,268,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"1720",2010-07-01,633,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1726",2010-08-01,12881,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"1727",2010-08-01,1419,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"1728",2010-08-01,1868,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"1729",2018-08-01,126704,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"1730",2010-08-01,316,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"1731",2010-08-01,2589,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"1732",2010-08-01,6175,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"1733",2010-08-01,1461,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"1734",2010-08-01,112341,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"1735",2010-08-01,242,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"1736",2010-08-01,92,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"1737",2010-08-01,33160,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"1738",2010-08-01,3922,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"1739",2010-08-01,19902,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"1740",2010-08-01,9619,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"1741",2010-08-01,64,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"1742",2010-08-01,206,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1743",2010-08-01,942,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"1744",2010-08-01,977,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"1745",2010-08-01,32,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"1746",2010-08-01,112034,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1747",2010-08-01,4068,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"1748",2010-08-01,80814,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"1750",2010-08-01,98,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1752",2010-08-01,1289,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"1753",2018-08-01,231,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"1754",2010-08-01,29,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1755",2010-08-01,21,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"1756",2010-08-01,1396,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
